Model,Augmentation,Freeze,Optimizer,LR,Batch Size,Epochs,Train Accuracy,Validation Accuracy,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,Error Rate,ROC-AUC
ResNet50,Augmented,Frozen,RMSprop,0.0001,24,10,0.815330982208252,0.8472222089767456,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5141059027777778
ResNet50,Augmented,Frozen,RMSprop,0.0001,32,15,0.8745644688606262,0.9027777910232544,0.125,0.03548922056384743,0.125,0.0407977207977208,0.890625,0.109375,0.875,0.19444444444444445,0.5080295138888888
ResNet50,Augmented,FineTune,Adam,0.0001,24,15,0.996515691280365,0.9444444179534912,0.1111111111111111,0.012698412698412698,0.1111111111111111,0.02279202279202279,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5045572916666666
ResNet50,Augmented,FineTune,Adam,0.0001,32,15,0.996515691280365,0.9444444179534912,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5162760416666666
ResNet50,Augmented,FineTune,RMSprop,0.0001,24,15,0.996515691280365,0.9166666865348816,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4533420138888889
ResNet50,Augmented,FineTune,RMSprop,0.0001,32,15,0.996515691280365,0.9583333134651184,0.013888888888888888,0.0029239766081871343,0.013888888888888888,0.004830917874396135,0.8767361111111112,0.1232638888888889,0.9861111111111112,0.2191358024691358,0.5219184027777778
MobileNetV2,NoAug,Frozen,Adam,0.0001,24,10,0.7944250702857971,0.7777777910232544,0.75,0.7652014652014653,0.75,0.745991045991046,0.96875,0.03125,0.25,0.05555555555555555,0.9613715277777778
MobileNetV2,NoAug,Frozen,RMSprop,0.0001,24,10,0.7735191583633423,0.8611111044883728,0.7916666666666666,0.7840388007054675,0.7916666666666666,0.7829494760867309,0.9739583333333334,0.026041666666666668,0.20833333333333334,0.0462962962962963,0.9759114583333334
MobileNetV2,NoAug,FineTune,Adam,0.0001,24,10,0.99303138256073,0.8333333134651184,0.8611111111111112,0.8921717171717172,0.8611111111111112,0.8575489650051054,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9900173611111112
MobileNetV2,NoAug,FineTune,RMSprop,0.0001,24,10,1.0,0.8888888955116272,0.8611111111111112,0.8950617283950617,0.8611111111111112,0.8442577030812325,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9934895833333334
MobileNetV2,Augmented,Frozen,Adam,0.0001,24,10,0.696864128112793,0.8333333134651184,0.8194444444444444,0.8316378066378066,0.8194444444444444,0.8178724946268806,0.9774305555555556,0.022569444444444444,0.18055555555555555,0.040123456790123455,0.9776475694444444
MobileNetV2,Augmented,Frozen,RMSprop,0.0001,24,10,0.8188153505325317,0.8611111044883728,0.8194444444444444,0.8171957671957671,0.8194444444444444,0.8082062454611475,0.9774305555555556,0.022569444444444444,0.18055555555555555,0.040123456790123455,0.9767795138888888
MobileNetV2,Augmented,FineTune,Adam,0.0001,24,10,0.9581881761550903,0.8055555820465088,0.8611111111111112,0.8834535834535835,0.8611111111111112,0.8514863113418325,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9956597222222222
MobileNetV2,Augmented,FineTune,RMSprop,0.0001,24,10,0.9895470142364502,0.875,0.8611111111111112,0.8943402276735609,0.8611111111111112,0.8594623814438056,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9963107638888888
